,adm2,adm1,date_heat,mob_index_heat,holiday_heat,makeup_day_heat,location,control_day,thi_heat,t2m_heat,datetime_heat,heat_ID,date_control,mob_index_control,holiday_control,makeup_day_control,mobility_difference,day_of_week,weekend,datetime_control,t2m_control,thi_control,thi_diff,datetime,Heat Wave Duration,dur_ranking,stage,month,hw_pct,early_hw,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popdens_dec,over60_dec,elev_1500m,baseline_mobility,mobility_diff_pct,time_x,rain_standard_control,time_y,rain_standard_heat,index
0,panzhihuashi,sichuansheng,2023-05-04,5.9319,0,0,"panzhihuashi, sichuansheng",2023-05-11,28.726560207683544,30.694014,2023-05-04,dc6bc926-6426-486b-9574-4fa3932d7a1f,2023-05-11,5.9717,0,0,-0.0398000000000005,3,0,2023-05-11,26.439928,25.181438860882015,3.5451213468015297,2023-05-04,3.0,0.3423133504965061,1.0,5,0.003420398009950249,1,0.3333333333333333,False,1854.6695616211744,0,3,4,7,1,5.1023,-0.007800403739490133,2023-05-11,27.27272727272727,2023-05-04,1.2987012987012987,0
1,liupanshuishi,guizhousheng,2023-05-04,5.9475,0,0,"liupanshuishi, guizhousheng",2023-05-18,29.178416952811713,30.769066,2023-05-04,c42dbac4-c76e-4c08-94b6-ac82f653ca83,2023-05-18,6.0017,0,0,-0.0541999999999998,3,0,2023-05-18,21.985855,21.993369711153925,7.185047241657788,2023-05-04,3.0,0.3423133504965061,2.0,5,0.0009328358208955224,1,0.6666666666666666,False,1712.86992248062,0,1,6,2,1,5.624750000000001,-0.00963598382150314,2023-05-18,80.51948051948052,2023-05-04,2.5974025974025974,1
2,anshunshi,guizhousheng,2023-05-04,5.6763,0,0,"anshunshi, guizhousheng",2023-05-18,31.87281550702153,33.24921,2023-05-04,bc827b74-4630-4f19-b0f2-7669a9014f2c,2023-05-18,5.6336,0,0,0.0426999999999999,3,0,2023-05-18,24.95534,25.2992897140546,6.573525792966933,2023-05-04,3.0,0.3423133504965061,2.0,5,0.0009328358208955224,1,0.6666666666666666,False,1205.1559157754011,0,1,6,3,0,5.776400000000001,0.007392147358216171,2023-05-18,88.31168831168831,2023-05-04,4.545454545454546,2
3,qianxinanbuyizumiaozuzizhizhou,guizhousheng,2023-05-04,6.4739,0,0,"qianxinanbuyizumiaozuzizhizhou, guizhousheng",2023-05-18,34.34690339840216,36.242348,2023-05-04,104a9416-c709-4996-9b4a-96dd3db93236,2023-05-18,6.4003,0,0,0.0736000000000007,3,0,2023-05-18,27.669476,28.61245903470945,5.734444363692713,2023-05-04,2.0,0.11134608311879367,1.0,5,0.003420398009950249,1,0.5,False,1157.1746281068097,0,1,4,3,0,6.5286,0.011273473639065145,2023-05-18,88.96103896103897,2023-05-04,1.948051948051948,3
4,kunmingshi,yunnansheng,2023-05-04,6.2426,0,0,"kunmingshi, yunnansheng",2023-05-11,26.894816335731555,28.170034,2023-05-04,40727eba-2fdc-4448-8166-a4426611cc52,2023-05-11,6.2958,0,0,-0.0531999999999994,3,0,2023-05-11,24.061598,23.23020484497019,3.6646114907613665,2023-05-04,6.0,0.8287054063994116,1.0,5,0.003420398009950249,1,0.16666666666666666,True,2097.502947027186,0,2,7,2,1,5.15285,-0.010324383593545204,2023-05-11,51.298701298701296,2023-05-04,0.6493506493506493,4
5,qujingshi,yunnansheng,2023-05-04,6.5104,0,0,"qujingshi, yunnansheng",2023-05-18,28.052388583755796,29.661083,2023-05-04,108fb887-3790-4bb3-b3ef-ba8fd269fe99,2023-05-18,6.4973,0,0,0.0130999999999996,3,0,2023-05-18,24.145678,23.99044514035616,4.061943443399635,2023-05-04,3.0,0.3423133504965061,1.0,5,0.003420398009950249,1,0.3333333333333333,False,2012.0759395686523,0,2,5,3,1,5.59495,0.002341397152789498,2023-05-18,69.48051948051948,2023-05-04,1.2987012987012987,5
6,honghehanizuyizuzizhizhou,yunnansheng,2023-05-04,5.8298,0,0,"honghehanizuyizuzizhizhou, yunnansheng",2023-05-11,29.263964497698353,29.93541,2023-05-04,3e168614-666f-43b2-9297-5effdc13faaf,2023-05-11,5.8543,0,0,-0.0245000000000006,3,0,2023-05-11,25.897821,26.22568144428135,3.038283053417004,2023-05-04,4.0,0.5620632585509379,1.0,5,0.003420398009950249,1,0.25,True,1487.744582915065,0,2,4,3,0,5.1738,-0.004735397580115312,2023-05-11,66.88311688311688,2023-05-04,1.2987012987012987,6
7,wenshanzhuangzumiaozuzizhizhou,yunnansheng,2023-05-04,5.9856,0,0,"wenshanzhuangzumiaozuzizhizhou, yunnansheng",2023-05-18,31.046588016035884,31.867739,2023-05-04,55635ea9-a003-443e-bab6-57a8fd056f6b,2023-05-18,6.0413,0,0,-0.0556999999999998,3,0,2023-05-18,28.89927,29.363889823131306,1.682698192904578,2023-05-04,3.0,0.3423133504965061,1.0,5,0.003420398009950249,1,0.3333333333333333,False,1362.1471952131635,0,2,3,2,0,6.2763,-0.008874655449866927,2023-05-18,46.103896103896105,2023-05-04,7.792207792207792,7
8,baiseshi,guangxizhuangzuzizhiqu,2023-05-05,6.3071,0,0,"baiseshi, guangxizhuangzuzizhiqu",2023-05-19,37.09834327863914,35.23041,2023-05-05,aa69fd40-2fdf-44b7-9e51-81a10ae096c4,2023-05-19,6.7314,0,0,-0.4242999999999997,4,0,2023-05-19,29.391106,32.73930893676929,4.359034341869851,2023-05-05,2.0,0.11134608311879367,1.0,5,0.00808457711442786,1,0.5,False,743.1097196989359,0,2,3,4,0,6.13715,-0.06913632549310342,2023-05-19,81.81818181818183,2023-05-05,5.194805194805195,8
9,chongzuoshi,guangxizhuangzuzizhiqu,2023-05-05,5.9387,0,0,"chongzuoshi, guangxizhuangzuzizhiqu",2023-05-26,41.01232642972106,34.82599,2023-05-05,5f819e46-14c5-4923-b9b3-df52eec5c62e,2023-05-26,6.3788,0,0,-0.4401000000000001,4,0,2023-05-26,30.297106,35.16683709795237,5.84548933176869,2023-05-05,2.0,0.11134608311879367,1.0,5,0.00808457711442786,1,0.5,False,306.9088458375217,0,2,3,5,0,5.45945,-0.08061251591277512,2023-05-26,46.103896103896105,2023-05-05,2.5974025974025974,9
