,index,country_region_code,country_region,adm1,adm2,metro_area,iso_3166_2_code,census_fips_code,place_id,date_heat,retail_rec_heat,grocery_pharm_heat,parks_heat,transit_heat,workplaces_heat,residential_heat,location,control_day,thi_heat,datetime_heat,heat_ID,date_control,retail_rec_control,grocery_pharm_control,parks_control,transit_control,workplaces_control,residential_control,retail_rec_difference,grocery_pharm_difference,parks_difference,transit_difference,workplaces_difference,residential_difference,day_of_week,weekend,datetime_control,thi_control,temp_diff,datetime,Heat Wave Duration,dur_ranking,stage,month,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popden_dec,over60_dec,elev_1500m,time_x,rain_standard_control,time_y,rain_standard_heat
0,0,NG,Nigeria,Abia,Aba North,,,,ChIJJ9SHpK2eQhARZRwKEePBcuk,2022-03-07,,-55.0,,,-28.0,,"Aba North, Abia",2022-02-28,39.34771431816952,2022-03-07,5c5f5670-5a05-4cac-a495-22e15d5e3cb2,2022-02-28,,-53.0,,,-29.0,,,-2.0,,,1.0,,0,0,2022-02-28,37.33195410834424,2.015760209825281,2022-03-07,2.0,0.10054377379010332,1.0,2,0.5,False,58.5,0,8,10,7,0,2022-02-28,41.208791208791204,2022-03-07,70.32967032967034
1,1,NG,Nigeria,Abia,Aba North,,,,ChIJJ9SHpK2eQhARZRwKEePBcuk,2022-03-08,,29.0,,,54.0,,"Aba North, Abia",2022-02-22,40.4142146640354,2022-03-08,5c5f5670-5a05-4cac-a495-22e15d5e3cb2,2022-02-22,,23.0,,,41.0,,,6.0,,,13.0,,1,0,2022-02-22,36.6815206739638,3.7326939900715956,2022-03-08,2.0,0.10054377379010332,2.0,2,1.0,False,58.5,0,8,10,7,0,2022-02-22,10.43956043956044,2022-03-08,72.52747252747253
4,4,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-29,36.0,,,164.0,57.0,,"Aba South, Abia",2022-03-15,39.71907297770187,2022-03-29,022e00dc-f8d8-4703-bd34-5fc4bd15da0a,2022-03-15,30.0,,,153.0,51.0,,6.0,,,11.0,6.0,,1,0,2022-03-15,37.64525307549374,2.073819902208129,2022-03-29,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,57.0,0,8,10,7,0,2022-03-15,70.87912087912088,2022-03-29,54.395604395604394
5,5,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-30,37.0,,,101.0,56.0,,"Aba South, Abia",2022-03-23,39.00903489854605,2022-03-30,022e00dc-f8d8-4703-bd34-5fc4bd15da0a,2022-03-23,30.0,,,90.0,56.0,,7.0,,,11.0,0.0,,2,0,2022-03-23,36.51766247219513,2.491372426350921,2022-03-30,3.0,0.27998912452419794,2.0,3,0.6666666666666666,False,57.0,0,8,10,7,0,2022-03-23,73.07692307692307,2022-03-30,68.68131868131869
6,6,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-31,30.0,,,103.0,52.0,,"Aba South, Abia",2022-03-24,40.29480404324008,2022-03-31,022e00dc-f8d8-4703-bd34-5fc4bd15da0a,2022-03-24,32.0,,,95.0,49.0,,-2.0,,,8.0,3.0,,3,0,2022-03-24,37.13923984103735,3.1555642022027257,2022-03-31,3.0,0.27998912452419794,3.0,3,1.0,False,57.0,0,8,10,7,0,2022-03-24,90.65934065934066,2022-03-31,58.791208791208796
2,2,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-07,-37.0,,,-40.0,-41.0,,"Aba South, Abia",2022-02-28,39.27409701877173,2022-03-07,c3dea604-d0ad-45b8-8dfc-d42a250e7956,2022-02-28,-47.0,,,-13.0,-42.0,,10.0,,,-27.0,1.0,,0,0,2022-02-28,37.23835203382709,2.0357449849446354,2022-03-07,2.0,0.10054377379010332,1.0,2,0.5,False,57.0,0,8,10,7,0,2022-02-28,36.81318681318682,2022-03-07,61.53846153846154
3,3,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-08,22.0,,,134.0,54.0,,"Aba South, Abia",2022-02-22,40.394424862331846,2022-03-08,c3dea604-d0ad-45b8-8dfc-d42a250e7956,2022-02-22,3.0,,,128.0,39.0,,19.0,,,6.0,15.0,,1,0,2022-02-22,36.55440436469186,3.8400204976399834,2022-03-08,2.0,0.10054377379010332,2.0,2,1.0,False,57.0,0,8,10,7,0,2022-02-22,10.989010989010989,2022-03-08,69.78021978021978
316,319,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-07,,,,,44.0,,"Abakaliki, Ebonyi",2022-02-28,39.844848632812536,2022-03-07,2a2686ae-7901-4a65-ae79-f2c861e2676e,2022-02-28,,,,,38.0,,,,,,6.0,,0,0,2022-02-28,37.94286727905278,1.9019813537597585,2022-03-07,3.0,0.27998912452419794,2.0,2,0.6666666666666666,False,49.35110294117647,0,5,8,8,0,2022-02-28,36.81318681318682,2022-03-07,62.08791208791209
317,320,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-08,,,,,57.0,,"Abakaliki, Ebonyi",2022-03-01,41.00303353203672,2022-03-08,2a2686ae-7901-4a65-ae79-f2c861e2676e,2022-03-01,,,,,41.0,,,,,,16.0,,1,0,2022-03-01,38.70261171129019,2.3004218207465286,2022-03-08,3.0,0.27998912452419794,3.0,3,1.0,False,49.35110294117647,0,5,8,8,0,2022-03-01,52.197802197802204,2022-03-08,84.06593406593407
318,321,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-22,,,,,77.0,,"Abakaliki, Ebonyi",2022-03-15,40.767483605278905,2022-03-22,3a7f8c40-d8c2-42e8-9daa-81080c63e21a,2022-03-15,,,,,74.0,,,,,,3.0,,1,0,2022-03-15,37.949911329481374,2.817572275797531,2022-03-22,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,49.35110294117647,0,5,8,8,0,2022-03-15,60.98901098901099,2022-03-22,65.93406593406593
