,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0_x,datetime_heat,number,spatial_ref,t2m,d2m,rh,thi_heat,adm2,adm1,day,month,year,location_x,datetime_ord,pct,level_0,heatwave,heat_ID,Heat Wave Duration_x,control_day,day_of_week,num_iters,diff,Unnamed: 0_y,country_region_code,country_region,metro_area,iso_3166_2_code,census_fips_code,place_id,date_heat,retail_rec_heat,grocery_pharm_heat,parks_heat,transit_heat,workplaces_heat,residential_heat,location_y,date_control,retail_rec_control,grocery_pharm_control,parks_control,transit_control,workplaces_control,residential_control,location,retail_rec_difference,grocery_pharm_difference,parks_difference,transit_difference,workplaces_difference,residential_difference,weekend,datetime_control,thi_control,temp_diff,datetime,Heat Wave Duration_y,dur_ranking,stage,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popden_dec,over60_dec,elev_1500m,time_x,rain_standard_control,time_y,rain_standard_heat
0,0,54,720,720,2022-08-09,0.0,0.0,29.780182,20.919098,81.89872,30.68989647759335,Sisli,Istanbul,9,8,2022,"Sisli, Istanbul",738376,0.915032679738562,54.0,1.0,77ee484e-d00d-450d-843e-d46ba3739cdb,2.0,2022-08-02,1,test,7 days,78552,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-09,-17.0,11.0,137.0,16.0,-13.0,-1.0,"Sisli, Istanbul",2022-08-02,-17.0,9.0,143.0,15.0,-11.0,-1.0,"Sisli, Istanbul",0.0,2.0,-6.0,1.0,-2.0,0.0,0,2022-08-02,27.800284491645016,2.889611985948335,2022-08-09,2.0,0.07089979137223232,1.0,0.5,False,90.23529411764706,1,10,10,2,0,2022-08-02,59.09090909090909,2022-08-09,59.74025974025974
1,1,59,734,734,2022-08-23,0.0,0.0,29.653717,23.167633,92.594345,32.622030046251126,Sisli,Istanbul,23,8,2022,"Sisli, Istanbul",738390,0.9790849673202614,59.0,1.0,328df15a-d2e4-416e-ab78-91c178e30d78,,2022-08-02,1,test,21 days,78566,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-23,-15.0,12.0,141.0,19.0,-13.0,2.0,"Sisli, Istanbul",2022-08-02,-17.0,9.0,143.0,15.0,-11.0,-1.0,"Sisli, Istanbul",2.0,3.0,-2.0,4.0,-2.0,3.0,0,2022-08-02,27.800284491645016,4.82174555460611,2022-08-23,3.0,0.22908674877178814,2.0,0.6666666666666666,False,90.23529411764706,1,10,10,2,0,2022-08-02,59.09090909090909,2022-08-23,50.0
2,2,63,741,741,2022-08-30,0.0,0.0,29.947174,23.040192,90.23909,32.35006756252719,Sisli,Istanbul,30,8,2022,"Sisli, Istanbul",738397,0.9738562091503268,63.0,1.0,553d5466-4076-483f-a5ad-3cd2388e28e3,,2022-08-02,1,test,28 days,78573,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-30,-29.0,0.0,153.0,-4.0,-43.0,5.0,"Sisli, Istanbul",2022-08-02,-17.0,9.0,143.0,15.0,-11.0,-1.0,"Sisli, Istanbul",-12.0,-9.0,10.0,-19.0,-32.0,6.0,0,2022-08-02,27.800284491645016,4.549783070882171,2022-08-30,4.0,0.36943939699845213,3.0,0.75,False,90.23529411764706,1,10,10,2,0,2022-08-02,59.09090909090909,2022-08-30,61.038961038961034
3,3,55,721,721,2022-08-10,0.0,0.0,28.902008,20.725983,79.95142,30.647922092013943,Sisli,Istanbul,10,8,2022,"Sisli, Istanbul",738377,0.9084967320261438,55.0,1.0,77ee484e-d00d-450d-843e-d46ba3739cdb,,2022-08-03,2,test,7 days,78553,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-10,-21.0,3.0,139.0,10.0,-16.0,0.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",-2.0,-3.0,-28.0,1.0,-3.0,0.0,0,2022-08-03,28.649779425727047,1.9981426662868955,2022-08-10,2.0,0.07089979137223232,2.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-10,87.66233766233766
4,4,56,728,728,2022-08-17,0.0,0.0,29.88736,21.670563,90.22068,31.718004014756985,Sisli,Istanbul,17,8,2022,"Sisli, Istanbul",738384,0.9633986928104576,56.0,1.0,0a169036-e77a-419d-b3ac-7c3c1908cab4,2.0,2022-08-03,2,test,14 days,78560,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-17,-18.0,6.0,164.0,11.0,-16.0,3.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",1.0,0.0,-3.0,2.0,-3.0,3.0,0,2022-08-03,28.649779425727047,3.0682245890299384,2022-08-17,2.0,0.07089979137223232,1.0,0.5,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-17,47.4025974025974
5,5,60,735,735,2022-08-24,0.0,0.0,30.076813,23.171173,93.868256,32.45704227023657,Sisli,Istanbul,24,8,2022,"Sisli, Istanbul",738391,0.976470588235294,60.0,1.0,328df15a-d2e4-416e-ab78-91c178e30d78,,2022-08-03,2,test,21 days,78567,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-24,-20.0,7.0,114.0,10.0,-16.0,4.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",-1.0,1.0,-53.0,1.0,-3.0,4.0,0,2022-08-03,28.649779425727047,3.8072628445095233,2022-08-24,3.0,0.22908674877178814,3.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-24,72.07792207792207
6,6,64,742,742,2022-08-31,0.0,0.0,28.369537,23.057037,91.39498,31.334754096137203,Sisli,Istanbul,31,8,2022,"Sisli, Istanbul",738398,0.9529411764705882,64.0,1.0,553d5466-4076-483f-a5ad-3cd2388e28e3,,2022-08-03,2,test,28 days,78574,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-31,-21.0,10.0,118.0,7.0,-16.0,2.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",-2.0,4.0,-49.0,-2.0,-3.0,2.0,0,2022-08-03,28.649779425727047,2.6849746704101562,2022-08-31,4.0,0.36943939699845213,4.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-31,94.15584415584416
7,7,57,729,729,2022-08-18,0.0,0.0,30.698639,22.36148,93.51532,32.485052744547545,Sisli,Istanbul,18,8,2022,"Sisli, Istanbul",738385,0.9777777777777776,57.0,1.0,0a169036-e77a-419d-b3ac-7c3c1908cab4,,2022-08-11,3,test,7 days,78561,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-18,-15.0,12.0,203.0,15.0,-13.0,2.0,"Sisli, Istanbul",2022-08-11,-21.0,7.0,160.0,5.0,-14.0,1.0,"Sisli, Istanbul",6.0,5.0,43.0,10.0,1.0,1.0,0,2022-08-11,25.86620118882925,6.618851555718294,2022-08-18,2.0,0.07089979137223232,2.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-11,89.6103896103896,2022-08-18,60.3896103896104
8,8,58,733,733,2022-08-22,0.0,0.0,30.007965,22.490387,90.905876,31.95394939846466,Sisli,Istanbul,22,8,2022,"Sisli, Istanbul",738389,0.9712418300653596,58.0,1.0,328df15a-d2e4-416e-ab78-91c178e30d78,3.0,2022-08-15,0,test,7 days,78565,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-22,-18.0,10.0,158.0,17.0,-9.0,2.0,"Sisli, Istanbul",2022-08-15,-22.0,2.0,117.0,9.0,-11.0,4.0,"Sisli, Istanbul",4.0,8.0,41.0,8.0,2.0,-2.0,0,2022-08-15,25.71131388346356,6.242635515001098,2022-08-22,3.0,0.22908674877178814,1.0,0.3333333333333333,False,90.23529411764706,1,10,10,2,0,2022-08-15,97.40259740259741,2022-08-22,45.45454545454545
9,9,62,740,740,2022-08-29,0.0,0.0,31.06607,21.782623,94.40387,31.42576005723745,Sisli,Istanbul,29,8,2022,"Sisli, Istanbul",738396,0.9581699346405228,62.0,1.0,553d5466-4076-483f-a5ad-3cd2388e28e3,,2022-08-15,0,test,14 days,78572,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-29,-21.0,10.0,161.0,10.0,-15.0,1.0,"Sisli, Istanbul",2022-08-15,-22.0,2.0,117.0,9.0,-11.0,4.0,"Sisli, Istanbul",1.0,8.0,44.0,1.0,-4.0,-3.0,0,2022-08-15,25.71131388346356,5.71444617377389,2022-08-29,4.0,0.36943939699845213,2.0,0.5,False,90.23529411764706,1,10,10,2,0,2022-08-15,97.40259740259741,2022-08-29,8.441558441558442
